date,version,asset,os,arch,downloads,published_at
2026-09-10,v0.1.0,feint-darwin-amd64,darwin,amd64,0,2026-07-30T09:33:36Z
2026-09-10,v0.1.0,feint-darwin-arm64,darwin,arm64,0,2026-07-30T09:33:36Z
2026-09-10,v0.1.0,feint-linux-amd64,linux,amd64,3,2026-07-30T09:33:36Z
2026-09-10,v0.1.0,feint-linux-arm64,linux,arm64,0,2026-07-30T09:33:36Z
2026-09-10,v0.10.0,feint-darwin-amd64,darwin,amd64,0,2026-08-20T20:20:02Z
2026-09-10,v0.10.0,feint-darwin-arm64,darwin,arm64,3,2026-08-20T20:20:02Z
2026-09-10,v0.10.0,feint-linux-amd64,linux,amd64,258,2026-08-20T20:20:02Z
2026-09-10,v0.10.0,feint-linux-arm64,linux,arm64,0,2026-08-20T20:20:02Z
2026-09-10,v0.11.0,feint-darwin-amd64,darwin,amd64,1,2026-08-26T19:36:45Z
2026-09-10,v0.11.0,feint-darwin-arm64,darwin,arm64,1,2026-08-26T19:36:45Z
2026-09-10,v0.11.0,feint-linux-amd64,linux,amd64,8,2026-08-26T19:36:45Z
2026-09-10,v0.11.0,feint-linux-arm64,linux,arm64,1,2026-08-26T19:36:45Z
2026-09-10,v0.12.0,feint-darwin-amd64,darwin,amd64,0,2026-08-29T14:37:37Z
2026-09-10,v0.12.0,feint-darwin-arm64,darwin,arm64,2,2026-08-29T14:37:37Z
2026-09-10,v0.12.0,feint-linux-amd64,linux,amd64,297,2026-08-29T14:37:37Z
2026-09-10,v0.12.0,feint-linux-arm64,linux,arm64,2,2026-08-29T14:37:37Z
2026-09-10,v0.12.1,feint-darwin-amd64,darwin,amd64,2,2026-09-01T15:29:48Z
2026-09-10,v0.12.1,feint-darwin-arm64,darwin,arm64,5,2026-09-01T15:29:48Z
2026-09-10,v0.12.1,feint-linux-amd64,linux,amd64,369,2026-09-01T15:29:48Z
2026-09-10,v0.12.1,feint-linux-arm64,linux,arm64,1,2026-09-01T15:29:48Z
2026-09-10,v0.13.0,feint-darwin-amd64,darwin,amd64,1,2026-09-07T19:37:49Z
2026-09-10,v0.13.0,feint-darwin-arm64,darwin,arm64,0,2026-09-07T19:37:49Z
2026-09-10,v0.13.0,feint-linux-amd64,linux,amd64,7,2026-09-07T19:37:49Z
2026-09-10,v0.13.0,feint-linux-arm64,linux,arm64,0,2026-09-07T19:37:49Z
2026-09-10,v0.2.0,feint-darwin-amd64,darwin,amd64,1,2026-07-30T11:46:24Z
2026-09-10,v0.2.0,feint-darwin-arm64,darwin,arm64,0,2026-07-30T11:46:24Z
2026-09-10,v0.2.0,feint-linux-amd64,linux,amd64,2,2026-07-30T11:46:24Z
2026-09-10,v0.2.0,feint-linux-arm64,linux,arm64,1,2026-07-30T11:46:24Z
2026-09-10,v0.3.0,feint-darwin-amd64,darwin,amd64,0,2026-07-31T14:22:07Z
2026-09-10,v0.3.0,feint-darwin-arm64,darwin,arm64,0,2026-07-31T14:22:07Z
2026-09-10,v0.3.0,feint-linux-amd64,linux,amd64,1,2026-07-31T14:22:07Z
2026-09-10,v0.3.0,feint-linux-arm64,linux,arm64,0,2026-07-31T14:22:07Z
2026-09-10,v0.3.1,feint-darwin-amd64,darwin,amd64,0,2026-07-31T15:35:26Z
2026-09-10,v0.3.1,feint-darwin-arm64,darwin,arm64,3,2026-07-31T15:35:26Z
2026-09-10,v0.3.1,feint-linux-amd64,linux,amd64,7,2026-07-31T15:35:26Z
2026-09-10,v0.3.1,feint-linux-arm64,linux,arm64,0,2026-07-31T15:35:26Z
2026-09-10,v0.3.2,feint-darwin-amd64,darwin,amd64,0,2026-08-03T16:54:12Z
2026-09-10,v0.3.2,feint-darwin-arm64,darwin,arm64,0,2026-08-03T16:54:12Z
2026-09-10,v0.3.2,feint-linux-amd64,linux,amd64,1,2026-08-03T16:54:12Z
2026-09-10,v0.3.2,feint-linux-arm64,linux,arm64,0,2026-08-03T16:54:12Z
2026-09-10,v0.3.3,feint-darwin-amd64,darwin,amd64,0,2026-08-04T17:56:40Z
2026-09-10,v0.3.3,feint-darwin-arm64,darwin,arm64,0,2026-08-04T17:56:40Z
2026-09-10,v0.3.3,feint-linux-amd64,linux,amd64,1,2026-08-04T17:56:40Z
2026-09-10,v0.3.3,feint-linux-arm64,linux,arm64,0,2026-08-04T17:56:40Z
2026-09-10,v0.4.0,feint-darwin-amd64,darwin,amd64,1,2026-08-07T15:53:02Z
2026-09-10,v0.4.0,feint-darwin-arm64,darwin,arm64,1,2026-08-07T15:53:02Z
2026-09-10,v0.4.0,feint-linux-amd64,linux,amd64,1,2026-08-07T15:53:02Z
2026-09-10,v0.4.0,feint-linux-arm64,linux,arm64,1,2026-08-07T15:53:02Z
2026-09-10,v0.4.1,feint-darwin-amd64,darwin,amd64,3,2026-08-07T19:19:51Z
2026-09-10,v0.4.1,feint-darwin-arm64,darwin,arm64,3,2026-08-07T19:19:51Z
